TraceId, Cost_TRIE_STREAMING, ExecutionTime_TRIE_STREAMING,TraceId,Cost,Time
861,32,17,861,32,92
862,45,30,862,45,160
863,20,5,863,12,50
864,22,5,864,22,40
865,53,15,865,53,283
866,19,18,866,12,35
867,26,7,867,26,66
868,42,2,868,42,174
869,27,21,869,27,56
870,32,1,870,32,85
871,40,16,871,40,145
872,29,12,872,29,77
873,44,18,873,44,212
874,32,2,874,32,88
875,33,15,875,33,89
876,26,0,876,26,48
877,48,29,877,48,170
878,48,20,878,48,229
879,34,9,879,34,86
880,39,14,880,39,91
881,63,36,881,63,415
882,35,12,882,35,128
883,57,36,883,57,242
884,36,15,884,36,102
885,17,3,885,8,25
886,7,5,886,1,5
887,9,1,887,1,8
888,15,3,888,1,14
889,24,0,889,24,40
890,61,32,890,61,395
891,15,10,891,15,22
892,30,6,892,30,83
893,20,0,893,20,32
894,23,20,894,14,57
895,14,5,895,8,24
896,19,1,896,12,32
897,65,40,897,65,492
898,28,17,898,28,70
899,26,7,899,12,63
900,28,5,900,28,55
901,19,8,901,1,22
902,30,9,902,30,79
903,30,5,903,30,69
904,5,0,904,1,3
905,14,7,905,10,27
906,38,10,906,38,111
907,30,13,907,30,75
908,21,2,908,1,24
909,32,0,909,32,48
910,73,55,910,73,629
911,17,0,911,1,15
912,28,17,912,28,45
913,25,2,913,1,26
914,27,12,914,1,36
915,11,2,915,1,11
916,18,5,916,10,87
917,24,2,917,24,62
918,15,5,918,15,23
919,16,4,919,12,42
920,20,5,920,20,33
921,32,1,921,2,45
922,46,21,922,46,160
923,26,12,923,26,49
924,26,7,924,26,50
925,24,5,925,24,23
926,8,3,926,8,11
927,26,11,927,26,43
928,8,3,928,8,10
929,22,6,929,22,22
930,8,1,930,4,7
931,42,20,931,42,101
932,19,9,932,10,27
933,25,2,933,8,39
934,30,0,934,30,77
935,49,33,935,49,171
936,6,1,936,6,10
937,19,4,937,8,15
938,27,7,938,20,43
939,20,3,939,20,31
940,92,72,940,92,1105
941,52,26,941,52,107
942,32,13,942,32,51
943,23,0,943,23,25
944,58,29,944,58,124
945,16,0,945,10,21
946,24,17,946,24,24
947,15,5,947,8,12
948,26,9,948,26,28
949,15,2,949,15,14
950,26,13,950,26,39
951,20,4,951,20,17
952,13,3,952,6,11
953,39,7,953,1,64
954,21,10,954,8,48
955,32,9,955,32,112
956,30,4,956,30,59
957,23,7,957,1,20
958,58,32,958,58,258
959,34,3,959,34,73
960,25,8,960,25,35
961,51,25,961,51,153
962,30,3,962,30,44
963,11,10,963,4,6
964,28,9,964,28,50
965,23,8,965,23,29
966,15,3,966,6,12
967,36,15,967,36,68
968,10,3,968,6,9
969,10,3,969,10,16
970,39,23,970,39,79
971,27,12,971,27,47
972,38,7,972,38,81
973,35,15,973,35,83
974,32,9,974,32,40
975,26,6,975,26,45
976,12,1,976,6,11
977,30,10,977,30,47
978,30,5,978,30,51
979,30,0,979,30,57
980,34,20,980,34,63
981,16,3,981,16,20
982,36,10,982,36,55
983,6,1,983,6,6
984,10,3,984,10,22
985,41,12,985,41,87
986,26,5,986,26,49
987,17,0,987,10,29
988,15,0,988,4,9
989,38,26,989,38,73
990,15,2,990,8,16
991,24,0,991,24,37
992,22,11,992,22,35
993,32,8,993,32,89
994,38,16,994,38,75
995,34,9,995,34,60
996,20,4,996,20,21
997,22,3,997,22,27
998,29,9,998,29,60
999,46,17,999,46,82
,28333,12652,,26082,88825
